State or County Total population Pediatric Asthma Adult Asthma COPD Lung Cancer
California, 38041430, 810547, 2537041, 1331210, 18360
Alameda, 1554720, 30109, 106687, 55408, 749
Alpine, 1129, 20, 81, 49, 1
Amador, 37035, 522, 2815, 1782, 18
Butte, 221539, 3974, 15602, 8706, 107
Calaveras, 44742, 729, 3317, 2146, 22
Colusa, 21411, 552, 1337, 719, 10
Contra Costa, 1079597, 22793, 72825, 39836, 520
Del Norte,28290, 524, 1982, 1090, 14
El Dorado, 180561, 3426, 12747, 7490, 87
Fresno, 947895, 24380, 58731, 30020, 458
Glenn, 27992, 677, 1801, 1004, 14
Humboldt, 134827, 2330, 9576, 5183, 65
Imperial, 176948, 4446, 11084, 5722, 86
Inyo, 18495, 340, 1317, 806, 9
Kern, 856158, 22440, 52552, 26262, 415
Kings, 151364, 3674, 9534, 4591, 74
Lake, 63983, 1166, 4570, 2776, 31
Lassen, 33658, 509, 2442, 1224, 17
Los Angeles, 9962789, 207040, 667835, 343914, 4803
Madera, 152218, 3783, 9611, 5104, 73
Marin, 256069, 4611, 18330, 10979, 123
Mariposa, 17905, 271, 1346, 861, 9
Mendocino, 87428, 1686, 6109, 3580, 42
Merced, 262305, 7061, 15909, 8027, 127
Modoc, 9327, 173, 664, 417, 5
Mono, 14348, 258, 1008, 519, 7
Monterey, 426762, 9984, 27460, 14136, 207
Napa, 139045, 2750, 9589, 5452, 67
Nevada, 98292, 1572, 7278, 4558, 47
Orange, 3090132, 64441, 207808, 109814, 1490
Placer, 361682, 7488, 24681, 14298, 174
Plumas, 19399, 296, 1457, 932, 9
Riverside, 2268783, 54477, 145184, 77188, 1095
Sacramento, 1450121, 31721, 95947, 50393, 698
San Benito, 56884, 1386, 3629, 1887, 27
San Bernardino, 2081313, 51443, 131079, 65782, 1005
San Diego, 3177063, 63708, 215294, 111464, 1536
San Francisco, 825863, 9765, 62628, 32426, 400
San Joaquin, 702612, 17646, 44136, 22956, 339
San Luis Obispo, 274804, 4404, 19918, 11108, 133
San Mateo, 739311, 14153, 51270, 28049, 356
Santa Barbara, 431249, 8562, 29309, 15472, 208
Santa Clara, 1837504, 38099, 123523, 64154, 888
Santa Cruz, 266776, 4816, 18707, 9811, 129
Shasta, 178586, 3417, 12511, 7415, 86
Sierra, 3086, 44, 237, 154, 1
Siskiyou, 44154, 781, 3188, 1993, 21
Solano, 420757, 8690, 28495, 15235, 203
Sonoma, 491829, 9245, 34427, 19350, 237
Stanislaus, 521726, 12765, 33120, 17294, 252
Sutter, 95022, 2240, 6143, 3346, 46
Tehama, 63406, 1364, 4280, 2502, 31
Trinity, 13526, 208, 1014, 643, 7
Tulare, 451977, 12735, 26863, 13613, 218
Tuolumne,54008, 801, 4047, 2514, 26
Ventura, 835981, 18297, 55541, 29842, 403
Yolo, 204118, 3943, 13868, 6843, 98
Yuba, 72926, 1812, 4595, 2369, 35
