population,price,income,employment,poverty,area,tract
5012,430800,73341,64.6,472,1,"Census Tract 1011.10, Los Angeles County, California"
3504,530100,112613,76.8,65,2,"Census Tract 1011.22, Los Angeles County, California"
6604,320700,49090,70.3,1016,3,"Census Tract 1012.10, Los Angeles County, California"
3123,423900,49083,66.6,421,4,"Census Tract 1012.20, Los Angeles County, California"
4247,536000,91767,65.3,142,5,"Census Tract 1013, Los Angeles County, California"
4047,489800,76205,58.7,533,6,"Census Tract 1014, Los Angeles County, California"
1755,604900,78093,68.9,16,7,"Census Tract 1021.03, Los Angeles County, California"
3226,492500,102934,64,76,8,"Census Tract 1021.04, Los Angeles County, California"
1847,442400,65932,61,143,9,"Census Tract 1021.05, Los Angeles County, California"
3542,595100,62009,56.6,382,10,"Census Tract 1021.07, Los Angeles County, California"
2786,463500,82724,67.7,152,11,"Census Tract 1031.01, Los Angeles County, California"
5114,426600,81776,63.4,286,12,"Census Tract 1031.02, Los Angeles County, California"
6033,492200,79799,56.4,763,13,"Census Tract 1032, Los Angeles County, California"
3249,771800,117105,68.2,213,14,"Census Tract 1033, Los Angeles County, California"
6697,404700,76438,72.3,425,15,"Census Tract 1034, Los Angeles County, California"
3573,412500,72459,63.6,82,16,"Census Tract 1041.03, Los Angeles County, California"
5671,256200,52044,66.4,829,17,"Census Tract 1041.05, Los Angeles County, California"
5395,421900,49711,63,572,18,"Census Tract 1041.08, Los Angeles County, California"
4278,424000,70667,61.6,302,19,"Census Tract 1041.24, Los Angeles County, California"
4697,340300,57577,65.9,531,20,"Census Tract 1042.01, Los Angeles County, California"
4612,354900,48320,67.6,670,21,"Census Tract 1042.03, Los Angeles County, California"
3628,97200,64003,60.1,559,22,"Census Tract 1042.04, Los Angeles County, California"
4725,369700,63103,60.7,561,23,"Census Tract 1043.10, Los Angeles County, California"
5783,381700,56338,71.5,438,24,"Census Tract 1043.20, Los Angeles County, California"
3290,401500,68524,65.3,322,25,"Census Tract 1044.01, Los Angeles County, California"
3268,304800,56557,62.5,603,26,"Census Tract 1044.03, Los Angeles County, California"
2791,413200,47843,62.2,315,27,"Census Tract 1044.04, Los Angeles County, California"
3070,372300,53673,66.8,357,28,"Census Tract 1045, Los Angeles County, California"
3554,394800,49021,60.7,618,29,"Census Tract 1046.10, Los Angeles County, California"
3402,366400,55208,61.4,258,30,"Census Tract 1046.20, Los Angeles County, California"
4108,395100,37162,55.8,654,31,"Census Tract 1047.01, Los Angeles County, California"
2100,255600,46070,68.9,377,32,"Census Tract 1047.03, Los Angeles County, California"
4095,267000,59111,66.2,400,33,"Census Tract 1047.04, Los Angeles County, California"
5250,391900,59621,66.3,468,34,"Census Tract 1048.10, Los Angeles County, California"
3420,389700,51472,63,258,35,"Census Tract 1048.21, Los Angeles County, California"
2031,291700,42351,72.7,305,36,"Census Tract 1048.22, Los Angeles County, California"
2636,501600,92282,66.1,168,37,"Census Tract 1060.10, Los Angeles County, California"
5912,482400,93600,64.2,159,38,"Census Tract 1060.20, Los Angeles County, California"
4346,369100,88481,63.3,207,39,"Census Tract 1061.11, Los Angeles County, California"
5822,441900,73722,59.9,470,40,"Census Tract 1061.12, Los Angeles County, California"
3631,403600,69863,63,202,41,"Census Tract 1061.13, Los Angeles County, California"
5562,332500,52338,69,711,42,"Census Tract 1061.14, Los Angeles County, California"
3148,374100,65271,55.6,103,43,"Census Tract 1064.03, Los Angeles County, California"
3202,355800,56733,70.7,315,44,"Census Tract 1064.05, Los Angeles County, California"
5042,400800,74730,71.9,160,45,"Census Tract 1064.06, Los Angeles County, California"
2672,272500,34104,55,395,46,"Census Tract 1064.07, Los Angeles County, California"
3783,300000,49240,77.8,407,47,"Census Tract 1064.08, Los Angeles County, California"
5020,529000,84008,65.3,178,48,"Census Tract 1065.10, Los Angeles County, California"
5297,283200,64515,61.4,559,49,"Census Tract 1065.20, Los Angeles County, California"
3200,665500,114669,62.2,53,50,"Census Tract 1066.03, Los Angeles County, California"
4649,477300,62120,67.8,348,51,"Census Tract 1066.04, Los Angeles County, California"
2127,651500,118320,67.4,30,52,"Census Tract 1066.41, Los Angeles County, California"
3477,620700,96709,69.3,227,53,"Census Tract 1066.42, Los Angeles County, California"
4333,888800,134630,62.9,53,54,"Census Tract 1066.43, Los Angeles County, California"
3487,636200,121335,58.4,52,55,"Census Tract 1066.45, Los Angeles County, California"
3620,535600,93679,65.1,156,56,"Census Tract 1066.46, Los Angeles County, California"
4395,435800,48565,59.7,623,57,"Census Tract 1066.48, Los Angeles County, California"
2701,496800,95835,67.8,202,58,"Census Tract 1066.49, Los Angeles County, California"
3175,376400,70912,56,260,59,"Census Tract 1070.10, Los Angeles County, California"
5379,372600,64727,62.9,626,60,"Census Tract 1070.20, Los Angeles County, California"
2307,631600,137070,63.5,57,61,"Census Tract 1081.01, Los Angeles County, California"
3772,650400,112251,65.7,194,62,"Census Tract 1081.02, Los Angeles County, California"
3300,805100,148045,62.8,14,63,"Census Tract 1081.03, Los Angeles County, California"
1870,659900,131377,63.7,30,64,"Census Tract 1081.04, Los Angeles County, California"
5582,677500,115148,60.5,155,65,"Census Tract 1082.01, Los Angeles County, California"
5579,902300,154145,65.1,269,66,"Census Tract 1082.02, Los Angeles County, California"
2447,339800,64238,51.8,79,67,"Census Tract 1091, Los Angeles County, California"
2756,437300,86563,67.6,116,68,"Census Tract 1092, Los Angeles County, California"
3386,432900,87055,63.7,89,69,"Census Tract 1093, Los Angeles County, California"
3712,384800,73887,63.1,107,70,"Census Tract 1094, Los Angeles County, California"
4765,384100,62697,66.8,295,71,"Census Tract 1095, Los Angeles County, California"
5210,446000,81847,64.5,331,72,"Census Tract 1096.01, Los Angeles County, California"
3910,437100,68407,69.9,205,73,"Census Tract 1096.03, Los Angeles County, California"
2975,421600,77528,65.9,114,74,"Census Tract 1096.04, Los Angeles County, California"
4455,475300,84500,67,261,75,"Census Tract 1097, Los Angeles County, California"
4313,477000,94724,64.1,351,76,"Census Tract 1098, Los Angeles County, California"
3054,493100,94438,64.8,194,77,"Census Tract 1111, Los Angeles County, California"
3191,495500,99009,61.2,77,78,"Census Tract 1112.01, Los Angeles County, California"
5313,497100,86377,62.8,312,79,"Census Tract 1112.02, Los Angeles County, California"
6083,733900,152223,64,231,80,"Census Tract 1112.04, Los Angeles County, California"
3863,543300,88276,62.7,249,81,"Census Tract 1112.05, Los Angeles County, California"
4652,616100,116587,60.4,163,82,"Census Tract 1112.06, Los Angeles County, California"
7600,567100,65581,70.6,815,83,"Census Tract 1113.01, Los Angeles County, California"
4762,580300,80353,62.6,460,84,"Census Tract 1113.02, Los Angeles County, California"
8049,534300,72736,62.6,648,85,"Census Tract 1114, Los Angeles County, California"
